season,episode_num,title,original_air_date,imdb_rating,total_votes
1,1,Winter Is Coming,17 Apr. 2011,9,46180
1,2,The Kingsroad,24 Apr. 2011,8.6,35052
1,3,Lord Snow,01-May-11,8.5,33200
1,4,"Cripples, Bastards, and Broken Things",08-May-11,8.6,31558
1,5,The Wolf and the Lion,15-May-11,9,32818
1,6,A Golden Crown,22-May-11,9.1,32463
1,7,You Win or You Die,29-May-11,9.1,32981
1,8,The Pointy End,5 Jun. 2011,8.9,30858
1,9,Baelor,12 Jun. 2011,9.6,43099
1,10,Fire and Blood,19 Jun. 2011,9.4,37958
2,1,The North Remembers,1 Apr. 2012,8.7,29636
2,2,The Night Lands,8 Apr. 2012,8.4,28086
2,3,What Is Dead May Never Die,15 Apr. 2012,8.7,27773
2,4,Garden of Bones,22 Apr. 2012,8.6,26928
2,5,The Ghost of Harrenhal,29 Apr. 2012,8.6,27098
2,6,The Old Gods and the New,06-May-12,8.9,28266
2,7,A Man Without Honor,13-May-12,8.8,27522
2,8,The Prince of Winterfell,20-May-12,8.6,27224
2,9,Blackwater,27-May-12,9.6,46797
2,10,Valar Morghulis,3 Jun. 2012,9.3,33309
3,1,Valar Dohaeris,31 Mar. 2013,8.7,29309
3,2,"Dark Wings, Dark Words",7 Apr. 2013,8.5,26850
3,3,Walk of Punishment,14 Apr. 2013,8.7,27128
3,4,And Now His Watch Is Ended,21 Apr. 2013,9.5,36553
3,5,Kissed by Fire,28 Apr. 2013,8.9,27811
3,6,The Climb,05-May-13,8.7,27483
3,7,The Bear and the Maiden Fair,12-May-13,8.6,26668
3,8,Second Sons,19-May-13,8.9,27335
3,9,The Rains of Castamere,2 Jun. 2013,9.9,101517
3,10,Mhysa,9 Jun. 2013,9.1,30662
4,1,Two Swords,6 Apr. 2014,9,33970
4,2,The Lion and the Rose,13 Apr. 2014,9.7,52667
4,3,Breaker of Chains,20 Apr. 2014,8.8,29163
4,4,Oathkeeper,27 Apr. 2014,8.7,28069
4,5,First of His Name,04-May-14,8.6,27300
4,6,The Laws of Gods and Men,11-May-14,9.7,49940
4,7,Mockingbird,18-May-14,9,30150
4,8,The Mountain and the Viper,1 Jun. 2014,9.7,52676
4,9,The Watchers on the Wall,8 Jun. 2014,9.6,45281
4,10,The Children,15 Jun. 2014,9.6,44717
5,1,The Wars to Come,12 Apr. 2015,8.4,29854
5,2,The House of Black and White,19 Apr. 2015,8.4,26750
5,3,High Sparrow,26 Apr. 2015,8.4,25968
5,4,Sons of the Harpy,03-May-15,8.6,26628
5,5,Kill the Boy,10-May-15,8.5,26854
5,6,"Unbowed, Unbent, Unbroken",17-May-15,7.9,30058
5,7,The Gift,24-May-15,8.9,29119
5,8,Hardhome,31-May-15,9.8,98671
5,9,The Dance of Dragons,7 Jun. 2015,9.4,42992
5,10,Mother's Mercy,14 Jun. 2015,9.1,41711
6,1,The Red Woman,24 Apr. 2016,8.4,39370
6,2,Home,01-May-16,9.3,46102
6,3,Oathbreaker,08-May-16,8.6,33550
6,4,Book of the Stranger,15-May-16,9,36040
6,5,The Door,22-May-16,9.7,69767
6,6,Blood of My Blood,29-May-16,8.3,33266
6,7,The Broken Man,5 Jun. 2016,8.5,32421
6,8,No One,12 Jun. 2016,8.3,36576
6,9,Battle of the Bastards,19 Jun. 2016,9.9,203879
6,10,The Winds of Winter,26 Jun. 2016,9.9,143780
7,1,Dragonstone,16 Jul. 2017,8.5,50157
7,2,Stormborn,23 Jul. 2017,8.8,43672
7,3,The Queen's Justice,30 Jul. 2017,9.1,45708
7,4,The Spoils of War,6 Aug. 2017,9.7,86600
7,5,Eastwatch,13 Aug. 2017,8.7,43408
7,6,Beyond the Wall,20 Aug. 2017,9,63062
7,7,The Dragon and the Wolf,27 Aug. 2017,9.4,62910
8,1,Winterfell,14 Apr. 2019,7.6,130346
8,2,A Knight of the Seven Kingdoms,21 Apr. 2019,7.9,128712
8,3,The Long Night,28 Apr. 2019,7.5,212837
8,4,The Last of the Starks,05-May-19,5.5,162708
8,5,The Bells,12-May-19,6,189615
8,6,The Iron Throne,19-May-19,4.1,242548
